ORDERDATE;SALES;CURRENCY;PRODUCT;CUSTOMERNAME;COUNTRY
2019-07-05;279217,02;JPY;Product B;Customer 2;Japan
2019-03-06;3186,02;GBP;Product B;Customer 61;United Kingdom
2019-06-13;4487,69;CHF;Product B;Customer 5;Switzerland
2019-02-16;2905,66;EUR;Product B;Customer 3;Germany
2019-05-27;8328,83;EUR;Product B;Customer 62;Germany
2019-01-03;2383,52;EUR;Product B;Customer 59;Germany
2019-11-30;33739,13;DKK;Product B;Customer 18;Denmark
2019-02-21;6063,77;AUD;Product B;Customer 63;Australia
2019-11-15;4523,97;CAD;Product B;Customer 26;Canada
2019-02-11;339161,7;JPY;Product B;Customer 6;Japan
2019-11-03;4432,22;SGD;Product B;Customer 27;Signapore
2019-10-10;2784,9;GBP;Product B;Customer 64;United Kingdom
2019-06-29;7553,28;AUD;Product B;Customer 50;Australia
2019-11-05;3357,28;GBP;Product B;Customer 31;United Kingdom
2019-05-14;433637,23;JPY;Product B;Customer 65;Japan
2019-12-27;50146,29;CNY;Product B;Customer 66;China
2019-05-14;5540,09;EUR;Product B;Customer 40;Germany
2019-05-26;4591,72;USD;Product B;Customer 35;United States
2019-10-27;28809,86;CNY;Product B;Customer 66;China
2019-04-14;6059,27;AUD;Product B;Customer 21;Australia
2019-02-28;9888,23;AUD;Product B;Customer 19;Australia
2019-01-26;3324,05;EUR;Product B;Customer 38;Germany
2019-01-17;41754,88;DKK;Product B;Customer 16;Denmark
2019-04-22;9405,63;AUD;Product B;Customer 32;Australia
2019-02-01;2458,22;EUR;Product B;Customer 41;Germany
2019-09-23;2951,96;CHF;Product B;Customer 25;Switzerland
2019-01-11;6150;SGD;Product B;Customer 11;Signapore
2019-01-11;8029,06;SGD;Product B;Customer 40;Signapore
2019-10-04;16407,5;CNY;Product B;Customer 43;China
2019-06-16;5769,94;CHF;Product B;Customer 5;Switzerland
2019-07-11;1606,76;CHF;Product B;Customer 43;Switzerland
2019-03-16;31626,64;CNY;Product B;Customer 44;China
2019-03-02;5081,84;EUR;Product B;Customer 15;Germany
2019-02-16;560122,34;JPY;Product B;Customer 67;Japan
2019-05-29;47499,38;DKK;Product B;Customer 68;Denmark
2019-06-22;8008,56;USD;Product B;Customer 40;United States
2019-11-29;8560,89;CHF;Product B;Customer 42;Switzerland
2019-10-09;11211,28;CAD;Product B;Customer 5;Canada
2019-05-06;31374,38;DKK;Product B;Customer 43;Denmark
2019-08-28;33819,19;DKK;Product B;Customer 8;Denmark
2019-07-10;3311,12;EUR;Product B;Customer 69;Germany
2019-09-17;28074,29;CNY;Product B;Customer 24;China
2019-01-13;5904,65;GBP;Product B;Customer 10;United Kingdom
2019-04-01;28236,94;DKK;Product B;Customer 70;Denmark
2019-04-02;4978,21;EUR;Product B;Customer 49;Germany
2019-01-02;3922,56;USD;Product B;Customer 23;United States
2019-09-30;12722,72;SGD;Product B;Customer 71;Signapore
2019-03-15;68792,86;CNY;Product B;Customer 72;China
2019-05-24;2702,55;GBP;Product B;Customer 70;United Kingdom
2019-01-29;5521,89;USD;Product B;Customer 73;United States
2019-12-26;6420,94;CHF;Product B;Customer 69;Switzerland
2019-01-21;731501,06;JPY;Product B;Customer 25;Japan
2019-12-13;2713,21;CHF;Product B;Customer 1;Switzerland
2019-07-14;3089,87;EUR;Product B;Customer 20;Germany
2019-07-20;3807,93;CAD;Product B;Customer 74;Canada
2019-06-03;4816,9;AUD;Product B;Customer 15;Australia
2019-06-27;3479,78;CAD;Product B;Customer 38;Canada
2019-03-01;2762,37;AUD;Product B;Customer 20;Australia
2019-02-11;7491,69;EUR;Product B;Customer 49;Germany
2019-11-10;5202,05;EUR;Product B;Customer 27;Germany
2019-11-18;10443,7;CHF;Product B;Customer 75;Switzerland
2019-06-19;6317,55;GBP;Product B;Customer 40;United Kingdom
2019-04-28;4227,59;EUR;Product B;Customer 24;Germany
2019-03-22;53715,75;DKK;Product B;Customer 27;Denmark
2019-04-09;10381,25;SGD;Product B;Customer 71;Signapore
2019-02-09;24273,38;DKK;Product B;Customer 51;Denmark
2019-07-21;8229,35;CHF;Product B;Customer 35;Switzerland
2019-06-20;7965,67;CHF;Product B;Customer 31;Switzerland
2019-04-18;9974,22;SGD;Product B;Customer 76;Signapore
2019-05-28;891338,3;JPY;Product B;Customer 77;Japan
2019-05-27;8351,34;GBP;Product B;Customer 74;United Kingdom
2019-06-30;618978,72;JPY;Product B;Customer 19;Japan
2019-04-21;9555,77;CAD;Product B;Customer 40;Canada
2019-06-02;11366,97;CAD;Product B;Customer 37;Canada
2019-01-21;46934;CNY;Product B;Customer 78;China
2019-05-20;848451,06;JPY;Product B;Customer 79;Japan
2019-04-04;3733,33;SGD;Product B;Customer 18;Signapore
2019-02-03;13487,57;CNY;Product B;Customer 63;China
2019-05-04;267370,21;JPY;Product B;Customer 26;Japan
2019-03-11;29778;DKK;Product B;Customer 2;Denmark
2019-12-18;2803,65;GBP;Product B;Customer 40;United Kingdom
2019-09-15;5385,41;AUD;Product B;Customer 40;Australia
2019-06-10;14256;DKK;Product B;Customer 3;Denmark
2019-11-27;12222,25;AUD;Product B;Customer 14;Australia
2019-05-02;4781,66;AUD;Product C;Customer 18;Australia
2019-11-18;24396;CNY;Product C;Customer 40;China
2019-10-01;3296,72;CAD;Product C;Customer 26;Canada
2019-11-28;34498,57;CNY;Product C;Customer 6;China
2019-08-12;29286,43;CNY;Product C;Customer 27;China
2019-11-21;9243,75;AUD;Product C;Customer 64;Australia
2019-11-07;9601,72;AUD;Product C;Customer 29;Australia
2019-07-02;44028,14;CNY;Product C;Customer 30;China
2019-11-17;524885,11;JPY;Product C;Customer 31;Japan
2019-11-20;3193,98;GBP;Product C;Customer 32;United Kingdom
2019-05-02;8111,86;AUD;Product C;Customer 39;Australia
2019-12-15;4793,06;SGD;Product C;Customer 40;Signapore
2019-06-11;5103,79;EUR;Product C;Customer 35;Germany
2019-02-04;709387,23;JPY;Product C;Customer 36;Japan
2019-03-23;5687,11;SGD;Product C;Customer 21;Signapore
2019-11-03;3970,95;CAD;Product C;Customer 19;Canada
2019-03-23;5029,76;GBP;Product C;Customer 38;United Kingdom
2019-05-03;5036,22;GBP;Product C;Customer 39;United Kingdom
2019-05-21;2101,65;GBP;Product C;Customer 32;United Kingdom
2019-09-29;3767,03;GBP;Product C;Customer 41;United Kingdom
2019-04-07;4547,13;SGD;Product C;Customer 9;Signapore
2019-06-26;5051,31;AUD;Product C;Customer 11;Australia
2019-07-13;5138,24;EUR;Product C;Customer 40;Germany
2019-05-10;901078,72;JPY;Product C;Customer 43;Japan
2019-12-06;18450;DKK;Product C;Customer 5;Denmark
2019-03-23;15405;DKK;Product C;Customer 43;Denmark
2019-06-12;662978,72;JPY;Product C;Customer 44;Japan
2019-12-01;847804,26;JPY;Product C;Customer 24;Japan
2019-10-13;2391,02;GBP;Product A;Customer 1;United Kingdom
2019-09-28;8284;USD;Product A;Customer 2;United States
2019-10-19;288425,53;JPY;Product A;Customer 3;Japan
2019-09-03;8665,06;SGD;Product A;Customer 5;Signapore
2019-10-24;4295,6;CHF;Product A;Customer 43;Switzerland
2019-02-13;5816,9;EUR;Product A;Customer 7;Germany
2019-08-09;3890,07;EUR;Product A;Customer 4;Germany
2019-08-08;5674,65;AUD;Product A;Customer 9;Australia
2019-11-16;6720,85;AUD;Product A;Customer 10;Australia
2019-05-01;5248,22;EUR;Product A;Customer 7;Germany
2019-01-11;5824;SGD;Product A;Customer 12;Signapore
2019-07-24;6992,85;CHF;Product A;Customer 13;Switzerland
2019-09-24;5546,9;EUR;Product A;Customer 14;Germany
2019-12-13;7196,53;SGD;Product A;Customer 72;Signapore
2019-07-13;5917,17;EUR;Product A;Customer 16;Germany
2019-02-09;442238,3;JPY;Product A;Customer 17;Japan
2019-06-30;6472,56;SGD;Product A;Customer 18;Signapore
2019-01-16;5710,83;SGD;Product A;Customer 80;Signapore
2019-09-08;3280,22;CHF;Product A;Customer 1;Switzerland
2019-09-11;7517,18;CHF;Product A;Customer 20;Switzerland
2019-09-25;3589,87;CHF;Product A;Customer 6;Switzerland
2019-08-17;5446,59;AUD;Product A;Customer 15;Australia
2019-05-24;5510,59;CHF;Product A;Customer 22;Switzerland
2019-12-18;7455,72;EUR;Product A;Customer 23;Germany
2019-11-05;366785,11;JPY;Product A;Customer 24;Japan
2019-06-18;8052,03;CAD;Product B;Customer 24;Canada
2019-06-14;42226;CNY;Product B;Customer 27;China
2019-04-03;6350,38;EUR;Product B;Customer 75;Germany
2019-04-23;4616,33;CHF;Product B;Customer 40;Switzerland
2019-02-20;4246,96;GBP;Product B;Customer 24;United Kingdom
2019-11-15;4880,02;USD;Product B;Customer 27;United States
2019-02-21;7758,05;CHF;Product B;Customer 71;Switzerland
2019-07-30;28844,36;CNY;Product B;Customer 51;China
2019-09-19;3525,11;CHF;Product B;Customer 35;Switzerland
2019-09-24;2708,93;EUR;Product B;Customer 31;Germany
2019-09-19;6638,87;AUD;Product B;Customer 76;Australia
2019-05-20;746415,96;JPY;Product B;Customer 73;Japan
2019-09-14;3449,8;GBP;Product B;Customer 74;United Kingdom
2019-07-07;4283,01;USD;Product B;Customer 19;United States
2019-06-26;464342,55;JPY;Product B;Customer 40;Japan
2019-04-05;5974,99;AUD;Product B;Customer 37;Australia
2019-07-24;4613,61;CHF;Product B;Customer 78;Switzerland
2019-03-28;8879,92;SGD;Product B;Customer 79;Signapore
2019-07-24;1466,91;USD;Product B;Customer 12;United States
2019-07-19;28995,21;CNY;Product B;Customer 63;China
2019-04-03;6762,7;AUD;Product B;Customer 26;Australia
2019-07-19;288474,47;JPY;Product B;Customer 24;Japan
2019-12-27;4615,75;GBP;Product B;Customer 36;United Kingdom
2019-03-29;25449,06;DKK;Product B;Customer 40;Denmark
2019-07-24;11130,74;CAD;Product B;Customer 14;Canada
2019-08-01;5676,25;CHF;Product B;Customer 67;Switzerland
2019-03-12;392908,51;JPY;Product B;Customer 68;Japan
2019-06-25;5584,89;CHF;Product B;Customer 40;Switzerland
2019-08-29;21843,38;DKK;Product B;Customer 42;Denmark
2019-06-17;7154,24;CAD;Product B;Customer 55;Canada
2019-10-23;581350;JPY;Product B;Customer 64;Japan
2019-08-23;2648,85;CHF;Product B;Customer 8;Switzerland
2019-11-04;5590;USD;Product B;Customer 69;United States
2019-04-24;2254,8;USD;Product B;Customer 24;United States
2019-07-16;6967,27;AUD;Product B;Customer 24;Australia
2019-06-01;265478,72;JPY;Product B;Customer 70;Japan
2019-04-08;3167,38;USD;Product B;Customer 49;United States
2019-01-02;17163,14;CNY;Product B;Customer 23;China
2019-01-09;2115,98;EUR;Product B;Customer 71;Germany
2019-01-14;39033,5;CNY;Product B;Customer 72;China
2019-06-11;6427,7;CAD;Product B;Customer 70;Canada
2019-01-29;3137,48;GBP;Product B;Customer 73;United Kingdom
2019-03-18;4189,62;CAD;Product B;Customer 69;Canada
2019-04-05;515989,36;JPY;Product B;Customer 25;Japan
2019-08-27;3562,02;CHF;Product B;Customer 1;Switzerland
2019-09-20;5703,95;CAD;Product B;Customer 20;Canada
2019-11-07;349874,47;JPY;Product B;Customer 74;Japan
2019-05-25;424170,21;JPY;Product B;Customer 81;Japan
2019-10-09;12925;CNY;Product B;Customer 38;China
2019-01-22;1092,2;USD;Product B;Customer 20;United States
2019-01-16;3595,31;GBP;Product B;Customer 49;United Kingdom
2019-11-29;5498,28;CHF;Product B;Customer 27;Switzerland
2019-01-24;11463,04;AUD;Product B;Customer 75;Australia
2019-05-25;9470,94;USD;Product B;Customer 40;United States
2019-12-10;7036,89;USD;Product B;Customer 24;United States
2019-06-07;4377,19;GBP;Product B;Customer 27;United Kingdom
2019-01-16;10934,03;SGD;Product B;Customer 71;Signapore
2019-12-24;7302,04;CHF;Product B;Customer 51;Switzerland
2019-02-16;10186,14;AUD;Product B;Customer 35;Australia
2019-05-29;4208,65;CAD;Product B;Customer 31;Canada
2019-03-28;36037,29;CNY;Product B;Customer 76;China
2019-11-26;6952,12;USD;Product B;Customer 77;United States
2019-05-27;4157,73;USD;Product B;Customer 74;United States
2019-02-26;49764;DKK;Product B;Customer 19;Denmark
2019-05-14;3778,8;USD;Product B;Customer 40;United States
2019-03-09;11623,94;AUD;Product B;Customer 37;Australia
2019-01-22;3132,24;EUR;Product B;Customer 78;Germany
2019-04-25;6401,67;CHF;Product B;Customer 79;Switzerland
2019-07-10;2227,24;EUR;Product B;Customer 18;Germany
2019-11-03;2875,57;CHF;Product B;Customer 63;Switzerland
2019-12-17;3800,48;EUR;Product B;Customer 75;Germany
2019-03-14;19015,06;DKK;Product B;Customer 2;Denmark
2019-08-11;37134,38;DKK;Product B;Customer 36;Denmark
2019-12-01;4502,64;SGD;Product B;Customer 40;Signapore
2019-03-12;43637,79;CNY;Product B;Customer 40;China
2019-03-10;2667,54;GBP;Product B;Customer 14;United Kingdom
2019-06-25;3485,82;USD;Product B;Customer 67;United States
2019-12-28;2042,88;USD;Product B;Customer 68;United States
2019-02-27;1800,24;USD;Product B;Customer 40;United States
2019-07-13;1888,23;AUD;Product B;Customer 42;Australia
2019-01-15;2381,19;CAD;Product B;Customer 5;Canada
2019-09-08;3192;SGD;Product B;Customer 43;Signapore
2019-02-10;1507,41;CHF;Product B;Customer 8;Switzerland
2019-09-08;13851,43;CNY;Product B;Customer 69;China
2019-05-23;5143,04;AUD;Product B;Customer 24;Australia
2019-05-14;2399,96;CHF;Product B;Customer 10;Switzerland
2019-10-06;2255,25;GBP;Product B;Customer 70;United Kingdom
2019-04-18;157893,62;JPY;Product B;Customer 49;Japan
2019-07-16;14089,06;DKK;Product B;Customer 23;Denmark
2019-11-14;16758,44;DKK;Product B;Customer 71;Denmark
2019-03-23;2507,1;GBP;Product B;Customer 72;United Kingdom
2019-08-26;2453,99;EUR;Product B;Customer 70;Germany
2019-03-29;1560,57;CHF;Product B;Customer 73;Switzerland
2019-05-22;3140,63;GBP;Product B;Customer 69;United Kingdom
2019-06-28;2196,82;GBP;Product B;Customer 25;United Kingdom
2019-02-14;22547,25;DKK;Product B;Customer 1;Denmark
2019-11-17;21051;DKK;Product B;Customer 20;Denmark
2019-01-17;2392,31;EUR;Product B;Customer 74;Germany
2019-10-10;1281,83;GBP;Product B;Customer 17;United Kingdom
2019-12-08;2529,36;USD;Product B;Customer 38;United States
2019-04-06;3065,78;USD;Product B;Customer 20;United States
2019-01-30;491040,43;JPY;Product C;Customer 24;Japan
2019-07-29;8061,66;AUD;Product C;Customer 28;Australia
2019-12-04;2015,43;GBP;Product C;Customer 75;United Kingdom
2019-03-17;1685,13;GBP;Product C;Customer 74;United Kingdom
2019-09-28;4686,76;AUD;Product C;Customer 61;Australia
2019-10-03;5374,49;GBP;Product C;Customer 27;United Kingdom
2019-08-05;3054,55;EUR;Product C;Customer 50;Germany
2019-02-02;6360,87;AUD;Product C;Customer 82;Australia
2019-12-03;40284,13;DKK;Product C;Customer 48;Denmark
2019-11-05;2917,55;EUR;Product C;Customer 65;Germany
2019-11-21;4529,33;CHF;Product C;Customer 83;Switzerland
2019-07-04;32299,71;CNY;Product C;Customer 40;China
2019-09-13;4370,4;EUR;Product C;Customer 24;Germany
2019-02-17;9212,96;AUD;Product C;Customer 66;Australia
2019-11-29;4242,63;AUD;Product C;Customer 40;Australia
2019-09-03;7390,39;AUD;Product C;Customer 19;Australia
2019-06-24;1743,99;GBP;Product C;Customer 1;United Kingdom
2019-06-15;34094,14;CNY;Product C;Customer 16;China
2019-12-22;5727,5;CHF;Product C;Customer 79;Switzerland
2019-03-11;2051,19;CAD;Product C;Customer 12;Canada
2019-01-15;4511,17;EUR;Product C;Customer 75;Germany
2019-01-26;3742,67;SGD;Product C;Customer 24;Signapore
2019-11-13;1749,79;USD;Product C;Customer 40;United States
2019-09-02;3000,79;AUD;Product C;Customer 40;Australia
2019-09-22;8382,17;AUD;Product C;Customer 24;Australia
2019-06-11;6609,3;AUD;Product C;Customer 15;Australia
2019-04-20;2894,59;CAD;Product B;Customer 68;Canada
2019-02-26;2628,53;CHF;Product B;Customer 40;Switzerland
2019-11-21;4549,82;AUD;Product B;Customer 42;Australia
2019-09-12;551276,6;JPY;Product B;Customer 55;Japan
2019-09-19;4065,83;CHF;Product B;Customer 64;Switzerland
2019-09-10;27983,25;DKK;Product B;Customer 8;Denmark
2019-03-28;25318,29;CNY;Product B;Customer 41;China
2019-04-08;5806,17;SGD;Product B;Customer 24;Signapore
2019-10-02;2314,16;EUR;Product B;Customer 70;Germany
2019-05-03;1542,43;GBP;Product B;Customer 61;United Kingdom
2019-03-15;4233,25;EUR;Product B;Customer 23;Germany
2019-04-10;3852,07;EUR;Product B;Customer 71;Germany
2019-11-12;4226,86;CAD;Product B;Customer 27;Canada
2019-05-28;2106,4;GBP;Product B;Customer 70;United Kingdom
2019-06-26;20054,36;CNY;Product B;Customer 73;China
2019-05-22;3384,8;CAD;Product B;Customer 69;Canada
2019-12-03;18655,5;DKK;Product B;Customer 22;Denmark
2019-07-09;268602,13;JPY;Product B;Customer 1;Japan
2019-08-10;3829,63;CHF;Product B;Customer 20;Switzerland
2019-06-07;432840,43;JPY;Product B;Customer 74;Japan
2019-10-12;551276,6;JPY;Product B;Customer 17;Japan
2019-02-02;4520,51;EUR;Product B;Customer 38;Germany
2019-04-03;8377,93;CHF;Product B;Customer 84;Switzerland
2019-12-13;3548,74;CHF;Product B;Customer 20;Switzerland
2019-11-16;3379,31;EUR;Product C;Customer 18;Germany
2019-11-21;3871,39;GBP;Product C;Customer 40;United Kingdom
2019-02-09;5432,39;AUD;Product C;Customer 26;Australia
2019-07-13;5889,35;AUD;Product C;Customer 6;Australia
2019-08-04;6536,62;AUD;Product C;Customer 27;Australia
2019-04-29;5028,34;AUD;Product C;Customer 64;Australia
2019-05-01;3527,81;GBP;Product C;Customer 29;United Kingdom
2019-10-18;12710,25;DKK;Product C;Customer 30;Denmark
2019-12-19;1689,78;EUR;Product C;Customer 31;Germany
2019-10-04;3672,94;CHF;Product C;Customer 32;Switzerland
2019-10-03;4056,69;GBP;Product C;Customer 33;United Kingdom
2019-07-05;2645,67;GBP;Product C;Customer 34;United Kingdom
2019-10-07;367127,66;JPY;Product C;Customer 35;Japan
2019-12-09;4700,86;EUR;Product C;Customer 36;Germany
2019-04-18;442991,49;JPY;Product C;Customer 21;Japan
2019-01-24;20000,57;CNY;Product C;Customer 37;China
2019-08-30;33485,29;CNY;Product C;Customer 38;China
2019-08-11;479574,47;JPY;Product C;Customer 39;Japan
2019-02-01;444834,04;JPY;Product C;Customer 40;Japan
2019-08-13;14069;DKK;Product C;Customer 41;Denmark
2019-02-11;124175,53;JPY;Product C;Customer 9;Japan
2019-07-22;2083,2;USD;Product C;Customer 11;United States
2019-04-09;3538,89;CHF;Product C;Customer 40;Switzerland
2019-10-21;3079,91;GBP;Product C;Customer 43;United Kingdom
2019-03-21;4055,17;EUR;Product C;Customer 5;Germany
2019-04-19;2127,5;EUR;Product C;Customer 43;Germany
2019-09-13;341808,51;JPY;Product C;Customer 44;Japan
2019-02-22;764042,55;JPY;Product C;Customer 24;Japan
2019-10-07;27369,88;DKK;Product B;Customer 46;Denmark
2019-05-10;532425,53;JPY;Product B;Customer 68;Japan
2019-10-26;26033,93;CNY;Product B;Customer 52;China
2019-02-21;3805,69;AUD;Product B;Customer 43;Australia
2019-11-28;3245,59;EUR;Product B;Customer 79;Germany
2019-11-02;4174,07;CHF;Product B;Customer 44;Switzerland
2019-01-04;38701,14;CNY;Product B;Customer 8;China
2019-09-09;2598,94;GBP;Product B;Customer 41;United Kingdom
2019-06-28;657702,13;JPY;Product B;Customer 75;Japan
2019-01-21;26167,06;DKK;Product B;Customer 24;Denmark
2019-02-21;4529,28;USD;Product B;Customer 70;United States
2019-11-01;7928,01;AUD;Product B;Customer 45;Australia
2019-06-23;324944,68;JPY;Product B;Customer 23;Japan
2019-05-09;15790,69;DKK;Product B;Customer 71;Denmark
2019-05-22;496580,85;JPY;Product B;Customer 85;Japan
2019-05-21;40620,75;DKK;Product B;Customer 70;Denmark
2019-08-30;5917,78;USD;Product B;Customer 86;United States
